volume weight fee
3 19 754
16 13 1121
25 28 1370
6 26 1991
16 26 1590
19 28 946
19 16 1967
16 13 367
3 19 585
13 29 1511
23 16 868
25 13 1251
26 22 1628
20 13 1542
9 9 1137
6 26 1291
3 23 1410
3 19 1432
22 16 982
3 20 1645
13 3 621
10 3 1886
26 16 403
3 16 501
3 13 1907
23 16 1918
25 28 724
6 6 564
13 26 396
13 22 590
29 16 1051
16 13 707
19 25 854
6 3 1347
29 20 1991
25 19 1889
3 13 472
7 13 898
19 3 762
16 19 1193
7 23 1303
25 16 620
19 19 1437
29 20 1160
19 19 873
6 19 1591
3 10 579
19 25 1263
16 13 1718
3 20 1263
22 13 293
3 19 600
7 26 634
3 9 1558
26 26 1790
26 20 971
13 9 820
16 10 1508
23 26 1520
22 13 667
26 22 1348
3 7 1565
25 6 216
29 29 763
23 20 1536
22 19 783
16 6 1332
7 3 1823
28 6 1065
16 10 1081
7 20 1880
16 28 1821
26 6 1627
13 10 483
25 28 221
26 26 496
13 20 1925
6 28 1820
29 29 1019
26 26 716
25 28 521
19 13 1784
16 20 816
25 28 1909
10 10 588
26 29 1233
19 6 1204
13 3 466
7 20 412
19 9 1059
22 3 480
13 10 738
9 22 909
10 10 1856
7 26 1166
25 6 653
19 22 1719
3 13 633
22 16 1819
26 22 1487
